severity,bucket,file,kind,photo_crag,resolved_slug,resolved_name,resolve_how,alt_crags,page,license,sourceUrl,flags,n_candidates,n_matched,n_routes_at_crag,unmatched_names,matched_names,grade_conflicts,sector_hints,caption_excerpt
82,guide,Images/guide/p42-0-X152.jpg,topo-diagram,Aow Luek / Lang Khai,aow-luek,Aow Luek,dual_crag_partial,Aow Luek; Lang Khai,42,,,dual_crag_label|multi_route_caption|no_routeId_multi_route_gap,8,8,69,,Wonderlust→Wonderlust[exact]; The Naturalist→The Naturalist[exact]; Naturalist Extension→Naturalist Extension[exact]; Boop Boop Chomp→Boop Boop Chomp[exact]; Rhythm Splitter→Rhythm Splitter[exact]; Clam Sandwich→Clam Sandwich[exact]; Caluga→Caluga[exact]; Fish Supper→Fish Supper[exact],,,"Full guidebook page ""Aow Luek"": intro text (beach, snorkelling, warning about grumpy local) plus hand-drawn boulder topo with numbered problems and route list: 1. **Wonderlust V0 (great slab), 2. **V0 (traverse right from #1), 3. ***The Nat"
77,guide,Images/guide/p10-0-X24.jpg,topo-diagram,Mek's Mountain,meks-mountain,Mek's Mountain,exact_name,Mek's Mountain,10,,,multi_route_caption|no_routeId_multi_route_gap|caption_says_unverified|grade_mismatch_vs_db,3,3,49,,A1→A1[exact]; A2→A2[exact]; Route B→Route B[exact],Route B:caption=6c db=6a,Shady Crack,"Composite layout: small crag photo (dark overhanging crack with rope) plus bullets 'Easy crack climb that is always in the shade / Difficult face climb / Need to abseil or lower from bolt near ladder to anchor point to set up', beside a dra"
75,community,Images/community/report-golden-view-kelsey-gray-01.jpg,community-photo,Golden View,golden-view,Golden View,exact_name,Golden View,,"user-contributed, all rights reserved — shown with attribution and source link",https://rakkup.com/koh-tao-thailand-rock-climbing-by-kelsey-gray/,multi_route_caption|no_routeId_multi_route_gap|grade_mismatch_vs_db|name_spelling_drift,2,2,6,,Rachel Fagan climbing Do It!→Do It![fuzzy]; Do It!→Do It![exact],Rachel Fagan climbing Do It!:caption=6c+ db=6b,,Rachel Fagan climbing Do It! (6c+) at Golden View. Photo by Kelsey Gray.
75,community,Images/community/report-lang-khai-kelsey-gray-01.jpg,community-photo,Lang Khai,lang-khai,Lang Khai,exact_name,Lang Khai,,"user-contributed, all rights reserved — shown with attribution and source link",https://rakkup.com/koh-tao-thailand-rock-climbing-by-kelsey-gray/,multi_route_caption|no_routeId_multi_route_gap|grade_mismatch_vs_db|name_spelling_drift,2,2,58,,Rachal Fagan climbing Forewarned→Forewarned[fuzzy]; Forewarned→Forewarned[exact],Rachal Fagan climbing Forewarned:caption=6a db=5c,,Rachal Fagan climbing Forewarned (6a) at Lang Khai. Photo by Kelsey Gray.
75,guide,Images/guide/p43-0-X155.jpg,topo-diagram,Sai Daeng High Balls,sai-daeng-high-balls,Sai Daeng High Balls,exact_name,Sai Daeng High Balls,43,,,caption_routes_not_in_db|topo_names_unmatched,1,0,1,Route A(5),,,,"Sketch topo page ""Sai Daeng High Balls"": text warns of VERY dangerous highball bouldering with bad landings (""Not recommended for the feint of heart!!!""); access is a 5-minute boulder hop left from the Coral View Resort; views of Shark Isla"
57,guide,Images/guide/p11-1-X28.jpg,photo-topo,Mek's Mountain,meks-mountain,Mek's Mountain,exact_name,Mek's Mountain,11,,,multi_route_caption|no_routeId_multi_route_gap|caption_says_unverified,4,4,49,,"Holy Exposure!→Holy Exposure![exact]; 'The Kiddie Slope→The Kiddie Slope[exact]; Pow, Right in the Baby Maker→Pow, Right in the Baby Maker[exact]; Stringer→Stringer[exact]",,The Watchtower; Watchtower,"Photo-topo titled 'The Watchtower': tall boulder/rock tower with two dashed lines - 'Holy Exposure!' (6a) to a starred anchor at the summit, and 'The Kiddie Slope' (4). Notes: 'Stringer to fixed anchor, please be careful and use tape to aff"
57,guide,Images/guide/p12-0-X33.jpg,topo-diagram,Mek's Mountain,meks-mountain,Mek's Mountain,exact_name,Mek's Mountain,12,,,multi_route_caption|no_routeId_multi_route_gap|caption_says_unverified,2,2,49,,"Pow, Right in the Baby Maker→Pow, Right in the Baby Maker[exact]; Lower Fraggle→Lower Fraggle[exact]",,The Watchtower; Watchtower; Lower Fraggle,"Large drawn multi-pitch topo. Upper section labeled 'The Watchtower' with '2 bolt Anchor' and 'South Abseil' (17m scale). Route 'Pow, Right in the Baby Maker': P1 5b, 18m, 6 bolts, 1 sling, 2 bolt anchor ('squeezing through the eerie flake "
55,community,Images/community/report-big-brother-slab-kelsey-gray-01.jpg,community-photo,Big Brother Slab (exact location unverified),big-brother-slab,Big Brother Slab,prefix_name,Big Brother Slab,,"user-contributed, all rights reserved — shown with attribution and source link",https://rakkup.com/koh-tao-thailand-rock-climbing-by-kelsey-gray/,multi_route_caption|no_routeId_multi_route_gap|name_spelling_drift,2,2,5,,Ryan Senko following Drunken Yorkshireman→drunken yorkshireman[fuzzy]; drunken yorkshireman→drunken yorkshireman[exact],,,Ryan Senko following Drunken Yorkshireman (6a+) at Big Brother Slab. Photo by Kelsey Gray.
50,guide,Images/guide/p44-1-X158.jpg,action-photo,,,,missing_crag,,44,,,unresolved_crag|caption_says_unverified,0,0,0,,,,,"Climber in helmet on a sea cliff of stacked granite blocks above turquoise water; ropes/gear visible at base. No route names legible. Crag unverified (sea-cliff setting, possibly Tanote Bay or Lang Khai area)."
47,guide,Images/guide/p09-0-X21.jpg,topo-diagram,Mek's Mountain,meks-mountain,Mek's Mountain,exact_name,Mek's Mountain,9,,,multi_route_caption|no_routeId_multi_route_gap,3,3,49,,Route A→Route A[exact]; Route B→Route B[exact]; Route C→Route C[exact],,LOW BULGE,"Topo diagram 'LOW BULGE' (16M wall, 10M right side) with 3 bolt anchor (star) and routes A 6b, B 6a, C 5b, D (grade not marked). Inset photo of the boulder wall bottom right. Notes: wall is two large boulders stacked; significant rope drag;"
47,guide,Images/guide/p09-2-X23.jpg,topo-diagram,Mek's Mountain,meks-mountain,Mek's Mountain,exact_name,Mek's Mountain,9,,,multi_route_caption|no_routeId_multi_route_gap,4,4,49,,Multi-pitch training line→Multi-pitch training line[exact]; Good Morning Koh Tao→Good Morning Koh Tao[exact]; Smeartastic→Smeartastic[exact]; Sairee Pull→Sairee Pull[exact],,SAIREE FACE,"Topo diagram 'SAIREE FACE' (22m) with bolted routes: 5a, 5b, 5c (variation), 6b; named routes Good Morning Koh Tao (5 bolts, 14m), Smeartastic (4 bolts, 15m), Sairee Pull; Multi-pitch training line (1 bolt, 6m); 2 bolt and 3 bolt anchors ma"
47,guide,Images/guide/p18-1-X53.jpg,photo-topo,Sairee Beach Boulders,sairee-beach-boulders,Sairee Beach Boulders,exact_name,Sairee Beach Boulders,18,,,multi_route_caption|no_routeId_multi_route_gap,3,3,40,,Lobe Lieback→Lobe Lieback[exact]; Cross Eyed→Cross Eyed[exact]; Yu's Jam Crack→Yu's Jam Crack[exact],,4. MH; 5. M; The Elephant,"Photo-topo titled 'The Elephant – South Side' with compass rose, '9m' height marker and 'Anchor' star. Route list: '1. Lobe Lieback 6a', '2. Cross Eyed 6c', '3. Yu's Jam Crack 5c', '4. MH', '5. M'. Sea and islands in background."
47,guide,Images/guide/p19-0-X55.jpg,photo-topo,Shark Island,shark-island,Shark Island,exact_name,Shark Island,19,,,multi_route_caption|no_routeId_multi_route_gap,4,4,5,,Passage of the Monkey Fist→Passage of the Monkey Fist[exact]; Don't Break the Biscuit→Don't Break the Biscuit[exact]; A Mo to Go→A Mo to Go[exact]; Tetris→Tetris[exact],,SHARK ISLAND,"Photo-topo titled 'SHARK ISLAND' with 'Fixed Abseil Anchor' star and 18m scale bar. Route lines with names/grades: 'Hitchcock's Revenge – 4+' (15m), 'Don't Break the Biscuit – 5a' (17m), 'Tetris – 5a' (18m), 'Passage of the Monkey Fist – 5b"
47,guide,Images/guide/p36-0-X121.jpg,topo-diagram,Babaloo Boulders,babaloo-boulders,Babaloo Boulders,exact_name,Babaloo Boulders,36,,,multi_route_caption|no_routeId_multi_route_gap,11,11,58,,Eye of the whale clam→Eye of the whale clam[exact]; Classic Refinement→Classic Refinement[exact]; Sunrise To Buddha→Sunrise To Buddha[exact]; Cheese Grater→Cheese Grater[exact]; Buddha Corner→Buddha Corner[exact]; Faze Action→Faze Action[exact]; Amitibar→Amitibar[exact]; Babaloo→Babaloo[exact]; Shrimp→Shrimp[exact]; Apache→Apache[exact]; Buds→Buds[exact],,,"Full Babaloo Boulders topo page. Text: small area on the beach of Babaloo Bar / Taraporn Bungalows, access via long concrete walkway. Route list (1-40) incl.: 1a. Apache** V5; 1b. Buddha Corner*** V3; 2. Sunrise to Buddha*** V3 (highball); "
42,guide,Images/guide/p14-0-X41.jpg,photo-topo,Mek's Mountain,meks-mountain,Mek's Mountain,exact_name,Mek's Mountain,14,,,topo_no_extractable_links|caption_says_unverified,0,0,49,,,,,"Large granite crag with overlaid route lines: one orange dashed line leading to a yellow star anchor at the top, flanked by several black dashed lines. No legible route names or grade labels. Crag identity unverified."
42,guide,Images/guide/p39-1-X128.jpg,photo-topo,Mango Mount,mango-mount,Mango Mount,exact_name,Mango Mount,39,,,topo_no_extractable_links|caption_says_unverified,0,0,10,,,,1. E  2. M  3. VE,"Boulder photo with 3 drawn route lines; caption '1. E  2. M  3. VE' (difficulty letters, route names not given). Crash pads at base. Crag unverified (same bouldering section as surrounding pages 37-39)."
42,guide,Images/guide/p39-2-X129.jpg,photo-topo,Mango Mount,mango-mount,Mango Mount,exact_name,Mango Mount,39,,,topo_no_extractable_links|caption_says_unverified,0,0,10,,,,6. M,"Boulder photo with one drawn crack line; caption '6. M'. Crash pads at base, vegetation on top. Crag unverified."
42,guide,Images/guide/p39-3-X130.jpg,photo-topo,Mango Mount,mango-mount,Mango Mount,exact_name,Mango Mount,39,,,topo_no_extractable_links|caption_says_unverified,0,0,10,,,,,Sunlit boulder photo with drawn route line; caption '7. M (Sit)'. Crag unverified.
42,guide,Images/guide/p39-4-X131.jpg,photo-topo,Mango Mount,mango-mount,Mango Mount,exact_name,Mango Mount,39,,,topo_no_extractable_links|caption_says_unverified,0,0,10,,,,5. E  6. MH,Boulder photo with two drawn crack/arete lines; caption '5. E  6. MH'. Multiple crash pads at base. Crag unverified.
42,guide,Images/guide/p40-1-X135.jpg,photo-topo,Mango Mount,mango-mount,Mango Mount,exact_name,Mango Mount,40,,,topo_no_extractable_links|caption_says_unverified,0,0,10,,,,,"Large granite boulder with 4 drawn route lines; caption '1. E  2. E  3. E  4. MH 6b ( Sit )'. Jungle vegetation around, orange crash pad visible at right. Crag unverified (Tower of Power section, pages 39-41)."
42,guide,Images/guide/p40-2-X136.jpg,photo-topo,Mango Mount,mango-mount,Mango Mount,exact_name,Mango Mount,40,,,topo_no_extractable_links|caption_says_unverified,0,0,10,,,,,Rounded granite boulder in jungle with one drawn crack line; caption '5. M ( Sit )'. Crag unverified.
42,guide,Images/guide/p40-3-X137.jpg,photo-topo,Mango Mount,mango-mount,Mango Mount,exact_name,Mango Mount,40,,,topo_no_extractable_links|caption_says_unverified,0,0,10,,,,,Boulder photo with one drawn line that forks near the base; caption '5. MH 6c   6. (Sit start Project)'. Crag unverified.
42,guide,Images/guide/p40-5-X139.jpg,photo-topo,Mango Mount,mango-mount,Mango Mount,exact_name,Mango Mount,40,,,topo_no_extractable_links|caption_says_unverified,0,0,10,,,,1. E   2. E   3. E   4. E,Vegetation-topped boulder with 4 drawn route lines; caption '1. E   2. E   3. E   4. E'. Crag unverified.
42,guide,Images/guide/p40-6-X140.jpg,photo-topo,Mango Mount,mango-mount,Mango Mount,exact_name,Mango Mount,40,,,topo_no_extractable_links|caption_says_unverified,0,0,10,,,,,"Mossy boulder photo with one drawn crack line; caption '( Project )   8. M ( Sit )' (numbers partially legible, unverified). Crag unverified."
42,guide,Images/guide/p41-1-X144.jpg,photo-topo,Mango Mount,mango-mount,Mango Mount,exact_name,Mango Mount,41,,,topo_no_extractable_links|caption_says_unverified,0,0,10,,,,,"Boulder with three hand-drawn topo lines labelled ""M"", ""MH"" and ""(Project)"". Crag/sector attribution unverified (page 41 boulder section, no crag name legible on the image)."
42,guide,Images/guide/p41-2-X145.jpg,photo-topo,Mango Mount,mango-mount,Mango Mount,exact_name,Mango Mount,41,,,topo_no_extractable_links|caption_says_unverified,0,0,10,,,,,"Boulder face with a single hand-drawn crack line labelled ""V1""; tree trunk at left, ferns on top. Crag attribution unverified."
42,guide,Images/guide/p41-3-X146.jpg,photo-topo,Mango Mount,mango-mount,Mango Mount,exact_name,Mango Mount,41,,,topo_no_extractable_links|caption_says_unverified,0,0,10,,,,,"Tall boulder with bird's-nest fern on top; topo line up the right arete labelled ""( Project )"". Crag attribution unverified."
42,guide,Images/guide/p41-4-X147.jpg,photo-topo,Mango Mount,mango-mount,Mango Mount,exact_name,Mango Mount,41,,,topo_no_extractable_links|caption_says_unverified,0,0,10,,,,,"Steep boulder with two topo lines captioned ""( Sit Start Projects )"". Crag attribution unverified."
42,guide,Images/guide/p41-5-X148.jpg,photo-topo,Mango Mount,mango-mount,Mango Mount,exact_name,Mango Mount,41,,,topo_no_extractable_links|caption_says_unverified,0,0,10,,,,,"Slabby boulder face with one topo line labelled ""M ( Sit Start )"". Crag attribution unverified."
42,guide,Images/guide/p41-6-X149.jpg,photo-topo,Mango Mount,mango-mount,Mango Mount,exact_name,Mango Mount,41,,,topo_no_extractable_links|caption_says_unverified,0,0,10,,,,,"Large leaning boulder with two topo lines labelled ""(Project Traverse)"" and ""E"". Crag attribution unverified."
40,guide,Images/guide/p01-0-X0.jpg,action-photo,,,,missing_crag,,1,,,unresolved_crag,0,0,0,,,,,"Silhouetted climber on top-rope stemming in a wide chimney or between two rock walls against a bright sky, with trees below; no text or route markings visible."
40,guide,Images/guide/p04-0-X9.jpg,map,,,,missing_crag,,4,,,unresolved_crag,0,0,0,,,,,Grayscale drawn map of Koh Tao island showing the road/trail network (solid and dotted lines) with a small line-style legend in the bottom-left corner; no place names legible.
40,guide,Images/guide/p07-0-X14.jpg,other,,,,missing_crag,,7,,,unresolved_crag,0,0,0,,,,,Photo of a top-rope anchor: knotted rope sling draped over a rock edge with two steel carabiners clipped at the master point. No route names or text.
40,guide,Images/guide/p07-1-X15.jpg,other,,,,missing_crag,,7,,,unresolved_crag,0,0,0,,,,,Photo of a two-bolt anchor equalised with a knotted rope cord on a rock face. No route names or text.
40,guide,Images/guide/p07-2-X16.jpg,other,,,,missing_crag,,7,,,unresolved_crag,0,0,0,,,,,Close-up photo of two glue-in/bolt hangers on textured rock (anchor hardware detail). No text.
40,guide,Images/guide/p07-3-X17.jpg,other,,,,missing_crag,,7,,,unresolved_crag,0,0,0,,,,,"Close-up photo of two visibly rusted bolt hangers/carabiners (lower-off hardware) on lichen-speckled rock, illustrating anchor wear. No text."
40,guide,Images/guide/p44-2-X159.jpg,action-photo,,,,missing_crag,,44,,,unresolved_crag,0,0,0,,,,,"Helmeted lead climber with a full trad/sport rack moving past a pocketed section, belayer visible below among boulders. No route names legible."
40,guide,Images/guide/p44-3-X160.jpg,action-photo,,,,missing_crag,,44,,,unresolved_crag,0,0,0,,,,,Boulderer reaching up an overhanging granite boulder above stacked crash pads; grass and palm trees in background. No route names legible.
40,guide,Images/guide/p44-4-X161.jpg,action-photo,,,,missing_crag,,44,,,unresolved_crag,0,0,0,,,,,"Two climbers on a steep grey granite wall; one climbing an arête/edge in foreground, another visible near the top. No route names legible."
40,guide,Images/guide/p44-5-X162.jpg,action-photo,,,,missing_crag,,44,,,unresolved_crag,0,0,0,,,,,Black-and-white overhead shot of a boulderer on a slab with a crash pad below. No route names legible.
40,guide,Images/guide/p45-0-X163.jpg,scenic,,,,missing_crag,,45,,,unresolved_crag,0,0,0,,,,,"Panoramic summit view over forested hills, a village with red roofs, and the sea; rock face visible at right edge. No text."
40,guide,Images/guide/p45-1-X164.jpg,scenic,,,,missing_crag,,45,,,unresolved_crag,0,0,0,,,,,Panoramic view over twin turquoise bays and jungle-covered headland with scattered boulders and boats at anchor. No text.
40,guide,Images/guide/p45-2-X165.jpg,scenic,,,,missing_crag,,45,,,unresolved_crag,0,0,0,,,,,Panoramic view of a concrete path winding through a coconut palm grove with scattered boulders. No text.
40,guide,Images/guide/p45-3-X166.jpg,scenic,,,,missing_crag,,45,,,unresolved_crag,0,0,0,,,,,Coconut palm grove on grassy slope with boulders and a rustic hut/structure visible among the trees. No text.
40,guide,Images/guide/p45-4-X167.jpg,scenic,,,,missing_crag,,45,,,unresolved_crag,0,0,0,,,,,Rocky hillside with coconut palms and dry grass; craggy rock outcrops on the slope. No text.
40,guide,Images/guide/p46-0-X169.jpg,scenic,,,,missing_crag,,46,,,unresolved_crag,0,0,0,,,,,Granite boulders scattered in grassy terrain among coconut palms under a blue sky. No text or route info; no climbers visible.
40,guide,Images/guide/p46-1-X170.jpg,action-photo,,,,missing_crag,,46,,,unresolved_crag,0,0,0,,,,,"Climber high on a steep, featured orange-grey granite face above trees, with a wooden platform or structure at the base. No route names or grades visible."
40,guide,Images/guide/p46-2-X171.jpg,action-photo,,,,missing_crag,,46,,,unresolved_crag,0,0,0,,,,,Boulderer on a crash pad working the low roof/underbelly of a large horizontal granite boulder in jungle vegetation. No route names or grades visible.
40,guide,Images/guide/p46-3-X172.jpg,action-photo,,,,missing_crag,,46,,,unresolved_crag,0,0,0,,,,,"Shirtless boulderer in orange shorts with chalk bag, heel-hooking a sloping rail on a dark grey boulder. No route names or grades visible."
40,guide,Images/guide/p46-4-X173.jpg,action-photo,,,,missing_crag,,46,,,unresolved_crag,0,0,0,,,,,Shirtless boulderer in camouflage shorts climbing a grey granite face with chalk bag. No route names or grades visible.
40,guide,Images/guide/p46-5-X174.jpg,crag-photo,,,,missing_crag,,46,,,unresolved_crag,0,0,0,,,,,Distant telephoto view of a pale granite pinnacle/tower formation rising above dense jungle canopy. No text or route info.
40,guide,Images/guide/p49-0-X178.jpg,other,,,,missing_crag,,49,,,unresolved_crag,0,0,0,,,,ROCK CLIMBING,"Full-page advertisement: 'ROCK CLIMBING' by Goodtime Adventures (www.gtadventures.com). Offers: Discover Rock Climbing (half-day beginner intro); Courses (beginner top-rope, anchor building, sport leading, trad); Guides or Beta (free PDF cl"
37,guide,Images/guide/p08-0-X19.jpg,map,Mek's Mountain,meks-mountain,Mek's Mountain,exact_name,Mek's Mountain,8,,,multi_route_caption|no_routeId_multi_route_gap,5,5,49,,Poker Face→Poker Face[exact]; Tongue Twister→Tongue Twister[exact]; Lower Fraggle→Lower Fraggle[exact]; Car Jack→Car Jack[exact]; Stringer→Stringer[exact],,MEK; Sairee Face; Shady Crack; Watchtower; Low Bulge; Eagle Wall; Tongue Twister; Lower Fraggle,"Hand-drawn area map 'MEK's MOUNTAIN' with compass, 15 m scale, legend (anchor, path, ladder, top rope/sport/trad routes, sport bolt) and walls: Low Bulge (4 Top Rope), Sairee Face (2 Sport, 2 Top Rope), Eagle Wall (4 Sport, 2 Top Rope), Two"
35,community,Images/community/golden-view-mp-gruber-03.jpg,community-photo,Golden View,golden-view,Golden View,exact_name,Golden View,,"user-contributed, all rights reserved — shown with attribution and source link",https://www.mountainproject.com/photo/125634455/dont-know-the-names-of-these-two-routes-the-left-one-felt-about-6b-and-the-right,caption_routes_not_in_db,1,0,6,The left one felt about(6b),,,,Don't know the names of these two routes. The left one felt about 6b and the right one maybe 7a+ or 7b. The rock was much less sharp on this side. (Mountain Project Golden View area photo by Caleb Gruber)
